sample_id,source_index_scanned,target_label,target_synset,target_name,final_pred_label,final_pred_name,detail_candidate,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick,final_correct,first_correct_tick,correct_sustained_tick,target_probability_final,target_probability_plateau_tick,most_certain_tick,most_certain_label,most_certain_correct
class505-coffeepot-sample01-src01487,1487,505,n03063689,coffeepot,505,coffeepot,True,505,0.9262190461158752,23,47,50,50,50,50,49,50,50,50,50,50,50,1,5,23,0.8877488374710083,50,29,505,1
class091-coucal-sample02-src01583,1583,91,n01824575,coucal,95,jacamar,True,95,0.9979052543640137,4,48,44,19,50,50,49,50,50,50,50,50,50,0,0,0,5.560590921049879e-07,1,37,95,0
class091-coucal-sample03-src01629,1629,91,n01824575,coucal,91,coucal,True,91,0.9999968409538269,5,46,9,7,49,50,48,50,50,50,50,50,50,1,5,5,0.9999986886978149,7,25,91,1
class980-volcano-sample04-src01813,1813,980,n09472597,volcano,970,alp,True,970,0.8358733057975769,48,50,50,50,50,50,50,50,50,50,50,50,50,0,5,0,0.34858933091163635,50,29,980,1
class171-Italian_greyhound-sample01-src02164,2164,171,n02091032,Italian greyhound,171,Italian greyhound,True,171,0.9999849200248718,4,45,14,9,50,50,49,50,50,50,50,50,50,1,4,4,0.9999926090240479,11,43,171,1
class171-Italian_greyhound-sample02-src02599,2599,171,n02091032,Italian greyhound,171,Italian greyhound,True,171,0.9993010759353638,3,41,47,47,50,50,49,50,50,50,50,50,50,1,3,3,0.9994308352470398,47,43,171,1
class171-Italian_greyhound-sample03-src02775,2775,171,n02091032,Italian greyhound,171,Italian greyhound,True,171,0.9958142638206482,3,36,47,47,50,50,49,50,49,50,50,50,50,1,3,3,0.9957395792007446,47,43,171,1
class505-coffeepot-sample02-src02782,2782,505,n03063689,coffeepot,505,coffeepot,True,505,0.8030825853347778,25,32,50,47,50,50,49,50,50,50,50,50,50,1,4,25,0.5104593634605408,50,29,505,1
class817-sports_car-sample02-src02853,2853,817,n04285008,"sports car, sport car",817,"sports car, sport car",True,817,0.9974458813667297,2,33,6,6,50,50,49,50,48,50,50,50,50,1,2,2,0.9977194666862488,6,37,817,1
class091-coucal-sample04-src03448,3448,91,n01824575,coucal,91,coucal,True,91,0.997251033782959,5,35,12,12,50,50,49,50,50,50,50,50,50,1,5,5,0.997268557548523,12,25,91,1
class171-Italian_greyhound-sample04-src03793,3793,171,n02091032,Italian greyhound,232,Border collie,True,232,0.6739335060119629,48,50,50,49,50,50,49,50,50,50,50,50,50,0,8,0,0.12587615847587585,50,43,171,1
class817-sports_car-sample03-src04513,4513,817,n04285008,"sports car, sport car",511,convertible,True,511,0.9991903305053711,6,48,45,44,50,50,49,50,48,50,50,50,50,0,0,0,2.280397166032344e-05,14,46,511,0
class817-sports_car-sample04-src04549,4549,817,n04285008,"sports car, sport car",817,"sports car, sport car",True,817,0.9016945958137512,45,48,50,49,50,50,49,50,49,50,50,50,50,1,16,45,0.6371793746948242,48,37,817,1
class505-coffeepot-sample03-src05563,5563,505,n03063689,coffeepot,883,vase,True,883,0.7466052174568176,47,49,50,50,50,50,49,50,49,50,50,50,50,0,0,0,5.13507757204934e-06,1,23,883,0
class505-coffeepot-sample04-src05824,5824,505,n03063689,coffeepot,505,coffeepot,True,505,0.9999504089355469,2,50,5,5,50,50,49,50,50,50,50,50,50,1,2,2,0.9999699592590332,5,50,505,1
