sample_id,source_index_scanned,target_label,target_synset,target_name,final_pred_label,final_pred_name,detail_candidate,final_class,final_certainty,label_stable_tick,top5_stable_tick,probability_js_tick,certainty_plateau_tick,action_cosine_tick,action_relative_l2_tick,out_cosine_tick,out_relative_l2_tick,full_sync_cosine_tick,full_sync_frobenius_tick,action_step_plateau_tick,out_step_plateau_tick,full_sync_step_plateau_tick,final_correct,first_correct_tick,correct_sustained_tick,target_probability_final,target_probability_plateau_tick,most_certain_tick,most_certain_label,most_certain_correct
class712-Petri_dish-sample01-src01647,1647,712,n03920288,Petri dish,712,Petri dish,True,712,0.9999999403953552,2,47,4,4,50,50,49,50,50,50,50,50,50,1,2,2,1.0,4,47,712,1
class116-chiton-sample03-src01748,1748,116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",113,snail,True,113,0.8551254868507385,49,46,50,50,50,50,49,50,50,50,50,50,50,0,0,0,0.07766036689281464,50,16,113,0
class116-chiton-sample04-src01819,1819,116,n01955084,"chiton, coat-of-mail shell, sea cradle, polyplacophore",116,"chiton, coat-of-mail shell, sea cradle, polyplacophore",True,116,1.0,3,47,6,5,50,50,50,50,49,50,50,50,50,1,3,3,1.0,5,50,116,1
class218-Welsh_springer_spaniel-sample04-src02198,2198,218,n02102177,Welsh springer spaniel,218,Welsh springer spaniel,True,218,0.9999656677246094,2,50,5,4,50,50,49,50,50,50,50,50,50,1,2,2,0.9999817609786987,4,26,218,1
class712-Petri_dish-sample02-src02202,2202,712,n03920288,Petri dish,753,radiator,True,753,0.7736191153526306,47,50,50,50,50,50,49,50,49,50,50,50,50,0,8,0,0.11901531368494034,50,38,753,0
class416-balance_beam-sample02-src02300,2300,416,n02777292,"balance beam, beam",416,"balance beam, beam",True,416,0.9999310970306396,5,44,16,13,50,50,50,50,50,50,50,50,50,1,2,5,0.9999611377716064,13,48,416,1
class416-balance_beam-sample03-src02722,2722,416,n02777292,"balance beam, beam",416,"balance beam, beam",True,416,0.999860942363739,4,46,38,7,50,50,50,50,50,50,50,50,50,1,4,4,0.9999088048934937,7,48,416,1
class793-shower_cap-sample01-src02729,2729,793,n04209133,shower cap,793,shower cap,True,793,0.9999999403953552,2,32,6,6,50,50,49,50,50,50,50,50,50,1,2,2,1.0,6,50,793,1
class712-Petri_dish-sample03-src02940,2940,712,n03920288,Petri dish,592,"hard disc, hard disk, fixed disk",True,592,0.9310991168022156,7,29,50,50,50,50,47,50,50,50,50,50,50,0,0,0,5.871833491255529e-05,29,13,592,0
class416-balance_beam-sample04-src03507,3507,416,n02777292,"balance beam, beam",416,"balance beam, beam",True,416,0.915340006351471,45,47,50,50,50,50,50,50,50,50,50,50,50,1,2,45,0.8202016949653625,50,48,416,1
class712-Petri_dish-sample04-src03684,3684,712,n03920288,Petri dish,107,jellyfish,True,107,0.9416710734367371,38,48,50,50,50,50,49,50,49,50,50,50,50,0,0,0,6.093142701502074e-07,1,25,107,0
class793-shower_cap-sample02-src04889,4889,793,n04209133,shower cap,433,"bathing cap, swimming cap",True,433,0.9999896287918091,5,49,16,14,50,50,49,50,50,50,50,50,50,0,2,0,5.159057764103636e-06,14,50,433,0
class793-shower_cap-sample03-src05176,5176,793,n04209133,shower cap,793,shower cap,True,793,0.9999175071716309,5,47,13,8,49,50,49,50,50,50,50,50,50,1,2,5,0.9999552965164185,8,50,793,1
class793-shower_cap-sample04-src06825,6825,793,n04209133,shower cap,423,barber chair,True,423,0.8414385914802551,24,50,50,50,50,50,49,50,50,50,50,50,50,0,0,0,0.01117902435362339,44,43,423,0
