sample_id,target,final_label,final_correct,first_correct_sustained_tick,answer_correct_sustained_tick,final_label_stable_tick,answer_final_label_stable_tick,most_certain_tick,most_certain_label,most_certain_correct,final_certainty,max_certainty,full_sync_cosine_tick,full_sync_frobenius_tick,full_sync_step_plateau_tick,action_cosine_tick,action_relative_l2_tick,action_step_plateau_tick,out_cosine_tick,out_relative_l2_tick,out_step_plateau_tick
36,4,4,1,122,122,122,122,128,4,1,0.9999671578407288,0.9999988079071045,129,130,130,127,128,128,130,130,130
37,0,0,1,122,122,122,122,130,0,1,0.9998826384544373,0.9998826384544373,128,130,130,128,130,130,130,130,130
38,6,6,1,122,122,122,122,126,6,1,0.9968622922897339,0.9999750852584839,129,130,130,126,129,128,130,130,130
39,6,6,1,123,123,123,123,126,6,1,0.9992073178291321,0.9999890327453613,129,130,130,126,129,128,130,130,130
40,6,6,1,122,122,122,122,126,6,1,0.9995714426040649,0.999994695186615,129,130,130,126,129,128,130,130,130
41,3,3,1,121,121,121,121,130,3,1,0.9999920129776001,0.9999920129776001,128,130,130,115,127,117,130,130,130
42,8,8,1,123,123,123,123,127,8,1,0.9999356865882874,0.9999975562095642,129,130,130,105,122,82,130,130,130
43,4,4,1,122,122,122,122,128,4,1,0.9854840040206909,0.9998525381088257,128,130,130,129,130,130,130,130,130
44,3,3,1,121,121,121,121,130,3,1,0.9999774098396301,0.9999774098396301,128,130,130,106,123,78,130,130,130
45,3,3,1,122,122,122,122,130,3,1,0.9999924302101135,0.9999924302101135,128,130,130,120,127,102,130,130,130
46,1,1,1,121,121,121,121,127,1,1,0.9998332858085632,0.9999992251396179,129,130,130,126,129,127,130,130,130
47,4,4,1,122,122,122,122,128,4,1,0.5779788494110107,0.970666766166687,128,130,130,123,126,124,130,130,130
48,6,6,1,123,123,123,123,126,6,1,0.9946016073226929,0.9999690651893616,129,130,130,125,128,118,130,130,130
49,2,2,1,122,122,122,122,127,2,1,0.9981366395950317,0.9999973773956299,129,130,130,128,130,130,130,130,130
50,4,4,1,122,122,122,122,128,4,1,0.9962445497512817,0.9999776482582092,128,130,130,127,129,128,130,130,130
51,8,8,1,123,123,123,123,128,8,1,0.9997438788414001,0.999995768070221,128,130,130,120,126,122,130,130,130
52,7,7,1,123,123,123,123,126,7,1,0.9939019083976746,0.9999570250511169,128,130,130,127,129,128,130,130,130
53,5,5,1,121,121,121,121,128,5,1,0.9996160268783569,0.999998152256012,128,130,130,123,129,118,130,130,130
54,9,9,1,124,124,124,124,129,9,1,0.9987395405769348,0.9997714161872864,129,130,130,126,129,127,130,130,130
55,5,5,1,124,124,124,124,128,5,1,0.9916724562644958,0.9999439716339111,127,129,130,121,128,123,130,130,130
56,9,9,1,124,124,124,124,129,9,1,0.9999778270721436,0.9999979138374329,128,130,130,120,128,106,130,130,130
57,6,6,1,125,125,125,125,126,6,1,0.6938678026199341,0.999290406703949,129,130,130,125,128,127,130,130,130
58,9,9,1,1,121,1,121,129,9,1,0.9999996423721313,0.9999997615814209,129,130,130,126,129,127,130,130,130
59,4,4,1,123,123,123,123,128,4,1,0.9798007607460022,0.9998868107795715,129,130,130,126,128,128,130,130,130
60,3,3,1,124,124,124,124,130,3,1,0.9999579787254333,0.9999579787254333,128,130,130,120,126,120,130,130,130
61,1,1,1,122,122,122,122,127,1,1,0.9993414878845215,0.9999995827674866,128,130,130,127,130,130,130,130,130
62,2,2,1,117,121,117,121,127,2,1,0.9998452067375183,1.0,129,130,130,128,130,130,130,130,130
63,6,6,1,123,123,123,123,126,6,1,0.783129096031189,0.9993740916252136,129,130,130,128,130,130,130,130,130
